,edge,includes,includedby,sum
1031,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/tinysndfile.cpp,0,3,3
858,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/AudioResamplerCubic.cpp,0,3,3
112,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/apple/AudioCache.h,1,2,3
657,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/ccdandroidUtils.cpp,0,3,3
515,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/win32/AudioDecoderOgg.cpp,0,3,3
415,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/apple/AudioPlayer.h,1,2,3
649,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/AudioDecoderWav.h,2,1,3
650,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/audio_utils/primitives.c,0,3,3
1045,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/mp3reader.cpp,0,2,2
920,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/scripting/lua-bindings/manual/audioengine/lua_cocos2dx_audioengine_manual.h,2,0,2
919,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/utils/Utils.cpp,0,2,2
161,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/win32/MciPlayer.cpp,0,2,2
113,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/apple/AudioMacros.h,2,0,2
1059,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/mp3reader.h,2,0,2
974,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/Track.cpp,0,2,2
977,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/PcmData.cpp,0,2,2
968,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/CCThreadPool.h,2,0,2
987,/media/ullmann/HDDGabriel/engines/cocos2d-x/cocos/audio/android/IVolumeProvider.h,1,1,2
